iter	Passed	Remaining
263	439	1226
264	441	1223
265	442	1220
266	443	1217
267	444	1213
268	445	1211
269	446	1207
270	447	1204
271	448	1201
272	450	1200
273	454	1203
274	455	1201
275	456	1198
276	458	1196
277	459	1193
278	460	1190
279	461	1187
280	463	1185
281	464	1182
282	465	1178
283	468	1181
284	469	1178
285	471	1176
286	472	1173
287	473	1171
288	474	1168
289	475	1165
290	476	1162
291	478	1159
292	479	1156
293	480	1153
294	484	1156
295	486	1156
296	487	1153
297	488	1150
298	489	1147
299	490	1144
300	492	1143
301	506	1171
302	508	1169
303	509	1166
304	510	1163
305	514	1166
306	515	1164
307	517	1162
308	518	1158
309	519	1156
310	520	1153
311	521	1150
312	522	1147
313	524	1145
314	525	1142
315	527	1142
316	529	1140
317	530	1137
318	532	1135
319	533	1133
320	535	1131
321	536	1129
322	537	1127
323	539	1126
324	543	1128
325	545	1127
326	546	1124
327	547	1121
328	548	1118
329	549	1116
330	552	1115
331	553	1113
332	556	1114
333	558	1112
334	559	1110
335	560	1107
336	562	1105
337	563	1103
338	564	1101
339	566	1098
340	567	1096
341	570	1096
342	573	1098
343	574	1096
344	576	1094
345	577	1091
346	578	1089
347	580	1086
348	581	1083
349	582	1081
350	583	1079
351	586	1080
352	587	1077
353	588	1074
354	590	1072
355	591	1070
356	592	1067
357	594	1065
358	595	1063
359	597	1061
360	599	1060
361	601	1059
362	602	1057
363	604	1055
364	605	1053
365	606	1050
366	607	1048
367	609	1046
368	610	1043
369	611	1040
370	612	1038
371	614	1037
372	616	1036
373	617	1033
374	619	1031
375	620	1029
376	621	1027
377	622	1024
378	624	1022
379	625	1019
380	626	1017
381	627	1014
382	629	1014
383	631	1012
384	632	1010
385	634	1009
386	636	1008
387	638	1006
388	639	1004
389	640	1002
390	642	1000
391	644	999
392	646	997
393	647	995
394	648	993
395	649	990
396	651	989
397	652	987
398	654	986
399	655	983
400	658	983
401	660	982
402	662	980
403	663	978
404	664	976
405	665	974
406	667	971
407	667	969
408	668	966
409	669	964
410	671	962
411	675	964
412	678	964
413	680	962
414	681	960
415	682	958
416	683	956
417	684	953
418	685	951
419	688	950
420	690	949
421	691	947
422	693	945
423	694	943
424	695	940
425	696	938
426	697	936
427	698	933
428	700	931
429	702	931
430	704	929
431	705	927
432	706	925
433	708	923
434	709	921
435	710	918
436	712	917
437	713	915
438	714	913
439	720	916
440	721	914
441	726	916
442	728	916
443	731	916
444	733	914
445	734	912
446	736	910
447	737	908
448	739	906
449	741	906
450	746	908
451	747	906
452	748	904
453	750	902
454	752	900
455	753	898
456	755	897
457	756	894
458	757	893
459	764	897
460	766	895
461	767	893
462	768	891
463	770	889
464	771	887
465	776	889
466	778	888
467	779	886
468	781	884
469	783	883
470	785	882
471	787	880
472	789	879
473	791	877
474	792	875
475	793	873
476	794	871
477	795	868
478	796	866
479	797	863
480	798	861
481	800	859
482	801	858
483	806	859
484	807	857
485	809	855
486	810	853
487	811	851
488	812	849
489	813	846
490	814	844
491	815	842
492	817	840
493	819	839
494	820	837
495	822	835
496	823	833
497	824	831
498	825	828
499	826	826
500	828	824
501	829	822
502	830	820
503	831	818
504	833	817
505	835	815
506	836	813
507	837	811
508	838	809
509	840	807
510	841	805
511	842	802
512	843	800
513	844	798
514	845	796
515	847	794
516	849	793
517	850	791
518	852	789
519	853	787
520	854	785
521	855	783
522	856	780
523	857	778
524	859	777
525	860	775
526	861	773
527	865	773
528	866	771
529	867	769
530	869	767
531	870	765
532	871	763
533	872	761
534	873	759
535	874	756
536	875	754
537	877	753
538	879	752
539	881	750
540	882	748
541	883	746
542	885	744
543	886	743
544	887	741
545	888	739
546	889	736
547	891	735
548	893	734
549	895	732
550	896	730
551	897	728
552	899	727
553	901	725
554	902	724
555	904	722
556	912	725
557	913	723
558	914	721
559	915	719
560	917	717
561	919	716
562	925	718
563	926	716
564	928	715
565	929	713
566	931	711
567	934	711
568	937	710
569	939	708
570	940	706
571	945	707
572	947	705
573	948	703
574	952	703
575	953	702
576	955	700
577	956	698
578	957	696
579	958	693
580	959	691
581	960	690
582	961	688
583	963	686
584	969	687
585	971	686
586	972	684
587	973	682
588	974	680
589	975	678
590	976	676
591	977	673
592	978	671
593	982	671
594	984	670
595	985	668
596	988	667
597	990	665
598	991	663
599	992	661
600	993	659
601	995	658
602	997	656
603	998	654
604	1000	653
605	1002	651
606	1003	649
607	1004	647
608	1005	645
609	1007	643
610	1010	643
611	1012	642
612	1014	640
613	1015	638
614	1017	636
615	1018	634
616	1019	633
617	1021	631
618	1022	629
619	1028	630
620	1029	628
621	1030	626
622	1032	624
623	1033	622
624	1034	620
625	1036	619
626	1038	617
627	1041	616
628	1042	614
629	1043	613
630	1044	611
631	1045	609
632	1047	607
633	1048	605
634	1049	603
635	1052	602
636	1054	601
637	1056	599
638	1058	597
639	1060	596
640	1061	594
641	1062	592
642	1064	590
643	1067	590
644	1069	588
645	1070	586
646	1071	584
647	1072	582
648	1074	581
649	1076	579
650	1078	578
651	1081	577
652	1084	576
653	1086	574
654	1087	572
655	1088	570
656	1089	569
657	1091	567
658	1092	565
659	1093	563
660	1098	563
661	1099	561
662	1101	559
663	1102	557
664	1103	555
665	1104	553
666	1105	551
667	1106	550
668	1107	548
669	1116	549
670	1118	548
671	1120	546
672	1122	545
673	1124	543
674	1127	542
675	1128	540
676	1130	539
677	1131	537
678	1135	536
679	1138	535
680	1139	533
681	1141	532
682	1142	530
683	1143	528
684	1144	526
685	1146	524
686	1147	522
687	1148	520
688	1152	520
689	1153	518
690	1154	516
691	1155	514
692	1156	512
693	1158	510
694	1159	508
695	1160	507
696	1162	505
697	1163	503
698	1165	502
699	1167	500
700	1168	498
701	1170	496
702	1171	494
703	1172	493
704	1174	491
705	1175	489
706	1177	487
707	1179	486
708	1180	484
709	1181	482
710	1182	480
711	1184	479
712	1185	477
713	1186	475
714	1188	473
715	1189	471
716	1190	470
717	1191	468
718	1193	466
719	1195	465
720	1196	463
721	1198	461
722	1199	459
723	1200	457
724	1201	455
725	1202	453
726	1204	452
727	1205	450
728	1207	448
729	1209	447
730	1211	445
731	1212	443
732	1213	442
733	1214	440
734	1216	438
735	1217	436
736	1219	435
737	1220	433
738	1221	431
739	1223	429
740	1225	428
741	1226	426
742	1228	424
743	1230	423
744	1241	425
745	1243	423
746	1244	421
747	1246	419
748	1247	418
749	1248	416
750	1250	414
751	1251	412
752	1256	412
753	1258	410
754	1259	408
755	1260	406
756	1262	405
757	1263	403
758	1264	401
759	1266	399
760	1270	399
761	1272	397
762	1274	395
763	1275	394
764	1277	392
765	1278	390
766	1280	388
767	1283	387
768	1285	386
769	1287	384
770	1288	382
771	1290	381
772	1291	379
773	1294	378
774	1297	376
775	1300	375
776	1302	373
777	1304	372
778	1305	370
779	1307	368
780	1308	366
781	1309	365
782	1312	363
783	1313	361
784	1315	360
785	1317	358
786	1319	357
787	1321	355
788	1322	353
789	1323	351
790	1326	350
791	1328	348
792	1329	347
793	1331	345
794	1333	343
795	1334	342
796	1336	340
797	1338	338
798	1342	337
799	1345	336
800	1346	334
801	1347	332
802	1348	330
803	1350	329
804	1351	327
805	1352	325
806	1353	323
807	1358	322
808	1359	321
809	1361	319
810	1362	317
811	1363	315
812	1365	313
813	1368	312
814	1371	311
815	1372	309
816	1373	307
817	1374	305
818	1376	304
819	1377	302
820	1378	300
821	1380	298
822	1382	297
823	1383	295
824	1385	293
825	1387	292
826	1388	290
827	1389	288
828	1390	286
829	1391	285
830	1392	283
831	1393	281
832	1395	279
833	1397	278
834	1399	276
835	1400	274
836	1402	273
837	1403	271
838	1404	269
839	1406	267
840	1407	266
841	1408	264
842	1409	262
843	1412	261
844	1413	259
845	1414	257
846	1415	255
847	1416	253
848	1417	252
849	1418	250
850	1419	248
851	1421	246
852	1422	245
853	1423	243
854	1425	241
855	1427	240
856	1429	238
857	1430	236
858	1431	234
859	1432	233
860	1433	231
861	1435	229
862	1436	228
863	1438	226
864	1441	224
865	1445	223
866	1447	222
867	1449	220
868	1450	218
869	1453	217
870	1456	215
871	1458	214
872	1459	212
873	1460	210
874	1462	208
875	1463	207
876	1464	205
877	1466	203
878	1468	202
879	1469	200
880	1471	198
881	1472	197
882	1473	195
883	1474	193
884	1476	191
885	1477	190
886	1479	188
887	1481	186
888	1484	185
889	1485	183
890	1487	181
891	1488	180
892	1489	178
893	1490	176
894	1492	175
895	1497	173
896	1498	172
897	1500	170
898	1501	168
899	1503	167
900	1504	165
901	1506	163
902	1507	161
903	1508	160
904	1512	158
905	1513	157
906	1515	155
907	1516	153
908	1517	151
909	1518	150
910	1520	148
911	1522	146
912	1524	145
913	1527	143
914	1528	142
915	1529	140
916	1531	138
917	1532	136
918	1533	135
919	1535	133
920	1536	131
921	1539	130
922	1541	128
923	1542	126
924	1544	125
925	1545	123
926	1547	121
927	1550	120
928	1552	118
929	1554	117
930	1556	115
931	1558	113
932	1559	112
933	1560	110
934	1561	108
935	1562	106
936	1564	105
937	1566	103
938	1568	101
939	1570	100
940	1571	98
941	1572	96
942	1573	95
943	1575	93
944	1577	91
945	1578	90
946	1581	88
947	1583	86
948	1585	85
949	1586	83
950	1588	81
951	1590	80
952	1592	78
953	1593	76
954	1596	75
955	1598	73
956	1599	71
957	1601	70
958	1603	68
959	1604	66
960	1605	65
961	1606	63
962	1607	61
963	1608	60
964	1611	58
965	1612	56
966	1614	55
967	1615	53
968	1616	51
969	1619	50
970	1622	48
971	1623	46
972	1624	45
973	1626	43
974	1627	41
975	1629	40
976	1630	38
977	1631	36
978	1632	35
979	1633	33
980	1635	31
981	1638	30
982	1640	28
983	1644	26
984	1647	25
985	1667	23
986	1669	21
987	1671	20
988	1672	18
989	1673	16
990	1675	15
991	1676	13
992	1681	11
993	1684	10
994	1688	8
995	1693	6
996	1695	5
997	1697	3
998	1700	1
999	1701	0
